track_name,album_name,release_date,track_id,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,lyrics_url,lyrics_text
Humming,Portishead,1997-01-01,2raNLL2FWxWNA4veLZIuAj,362333,0.592,0.488,4,-7.596,1,0.0332,0.238,0.0742,0.822,0.0591,74.007,https://genius.com/Portishead-humming-lyrics,"Closer
No hesitation
Give me
All that you have
And it's been so long, that I can't explain
And it's been so wrong
Right now, so wrong
Naked
My thoughts are creeping
Too late
The show has begun
And it's been so long, that I can't confess
And it's been so wrong
Right now, so wrong
Is it all as it seems
So unresolved, so unredeemed
If I remain, how will I know
Cause it's been so long, that I can't be sure
And it's been so wrong
Right now, so wrong"
Mourning Air,Portishead,1997-01-01,4AJyCdViXryL9E98MkWPzp,252226,0.439,0.508,0,-8.234,0,0.0313,0.25,0.18,0.123,0.0582,141.985,https://genius.com/Portishead-mourning-air-lyrics,"[Verse 1]
Did I see a moment with you
In a half lit world
I'm frightened to believe
But I must try
If I stumble if I fall
[Refrain]
I'm reaching out in this mourning air, ohh
[Verse 2]
Have I got the strength to ask
Beyond the window
I feel this fear alone
Until we have
Total honesty
If I tremble or fall
[Refrain]
I'm reaching out in this mourning air, ohh
[Verse 3]
Should I feel a moment with you
To softly whisper
I crave nothing else so much
Longing to reveal
Total honesty
I can feel your touch
[Refrain]
I'm reaching out in this mourning air, ohh
[Refrain]
I'm reaching out in this mourning air, ohh"
Seven Months,Portishead,1997-01-01,3TpGjl2QDRr35EdFDUey8X,256040,0.489,0.82,4,-5.449,1,0.12,0.459,2.32e-05,0.0868,0.298,76.181,https://genius.com/Portishead-seven-months-lyrics,"[Verse 1]
How can I forget you
Disregard how I feel
Silently listen
To the words I can't see
[Chorus 1]
As long as I have tried
As low as I can be
I will never resign myself
From the trial I seek
[Verse 2]
Why should I forgive you
After all that I've seen
Quietly whisper
When my heart wants to scream
[Chorus 2]
For as long as I have tried
And as low as I can be
I will never resign myself
From the trial I seek
[Verse 3]
There's no time to rest
Or to reconsider
For this cruel unsaid
Won't concede
[Chorus 2]
For as long as I have tried
And as low as I can be
I will never resign myself
From the trial I seek"
Only You,Portishead,1997-01-01,2qKkC9cODRjIlsdyEkSJLQ,299560,0.581,0.316,5,-12.212,1,0.19,0.334,0.0145,0.148,0.108,120.349,https://genius.com/Portishead-only-you-lyrics,"{Scratches}
Flip it like that
[Verse 1]
We suffer every day
What is it for?
These crimes of illusion are fooling us all
And now I am weary and I feel like I do
[Chorus]
It's only you who can tell me apart
And it's only you who can turn my wooden heart
[Verse 2]
The size of our fight
It's just a dream
We've crushed everything I can see
In this morning selfishly
How we've failed and I feel like I do
[Chorus]
It's only you, who can tell me apart
And it's only you, who can turn my wooden heart
{Scratches}
Flip it like that
[Verse 3]
Now that we've chosen to take all we can
This shade of autumn
A stale bitter end
Years of frustration lay down side by side
[Chorus]
And it's only you, who can tell me apart
And it's only you, who can turn my wooden heart
It's only you, who can tell me apart
And it's only you, who can turn my wooden heart"
Elysium,Portishead,1997-01-01,3aK3iIvgT5FQgKAjLunrMN,354640,0.264,0.491,1,-5.534,0,0.0577,0.00405,0.0485,0.234,0.0385,79.98,https://genius.com/Portishead-elysium-lyrics,"[Verse 1]
No one has said
What the truth should be
And no one decided
That I'd feel this way
If you felt as I
Would you betray yourself?
[Hook]
But you can't deny how I feel
And you can't decide for me
[Verse 2]
No one should fear
What they cannot see
And no one's to blame
It's just hypocrisy
It's written in your eyes
And how I despise myself
[Hook]
But you can't deny how I feel
And you can't decide for me
[Verse 3]
And it's your heart
That's so wrong
Mistaken
You'll never know
Your feathered sacred self
[Hook]
But you can't deny how I feel
And you can't decide for me
And you can't deny how I feel
Oh, why should you decide for me?"
Western Eyes,Portishead,1997-01-01,1gOACnpZKFC70kn0nsmqen,239333,0.641,0.292,4,-12.674,0,0.0925,0.509,0.000198,0.329,0.216,138.289,https://genius.com/Portishead-western-eyes-lyrics,"[Verse 1]
Forgotten throes of another's life
The heart of love is our only light
Faithless screeds, consolidating
Holding down sweet charity
[Pre-Chorus]
With western eyes and serpents' breath
We lay our own conscience to rest
[Chorus]
But I'm aching at the view
Yes, I'm breaking at the seams just like you
[Verse 2]
They have values of a certain taste
The innocent they can hardly wait
To crucify, invalidating
Turning to dishonesty
[Pre-Chorus]
With western eyes and serpents' breath
They lay their own conscience to rest
But then they lie and then they dare to be
Hidden heroes candidly
[Chorus]
So, I'm aching at the view
Yes, I'm breaking at the seams just like you
[Outro]
I feel so cold
All hookers and gin
This mess we're in"
Mysterons,Dummy,1994-01-01,2O6X9nPVVQSefg3xOQAo5u,305240,0.657,0.498,11,-11.529,1,0.262,0.405,0.000479,0.107,0.46,164.25,https://genius.com/Portishead-mysterons-lyrics,"[Intro]
Portishead
Portishead
Portishead
[Verse 1]
Inside, you're pretending
Crimes have been swept aside
Somewhere
Where they can forget
[Verse 2]
Divine upper reaches
Still holding on
This ocean
Will not be grasped
[Chorus]
All for nothing
Did you really want
Did you really want
Did you really want
Did you really want
[Verse 3]
Refuse to surrender
Strung out until ripped apart
Who dares
Who dares to condemn?
[Chorus]
All for nothing
Did you really want
Did you really want
Did you really want
Did you really want"
Sour Times,Dummy,1994-01-01,6vTtCOimcPs5H1Jr9d0Aep,252266,0.698,0.633,8,-6.68,0,0.0406,0.0508,0.272,0.264,0.55,94.085,https://genius.com/Portishead-sour-times-lyrics,"[Verse 1]
To pretend no one can find
The fallacies of morning rose
Forbidden fruit, hidden eyes
Courtesies that I despise in me
Take a ride, take a shot now
[Chorus]
'Cause nobody loves me, it's true
Not like you do
[Verse 2]
Covered by the blind belief
That fantasies of sinful screens
Bear the facts, assume the dye
End the vows, no need to lie, enjoy
Take a ride, take a shot now
[Chorus]
'Cause nobody loves me, it's true
Not like you do
[Bridge]
Who am I, what and why?
'Cause all I have left
Is my memories of yesterday
Oh, these sour times
[Chorus]
'Cause nobody loves me, it's true
Not like you do
[Verse 3]
After time, the bitter taste
Of innocence, descent, or race
Scattered seeds, buried lives
Mysteries of our disguise revolve
Circumstance will decide
[Chorus]
‘Cause nobody loves me, it’s true
Not like you do
[Instrumental]
[Chorus]
'Cause nobody loves me, it's true
Not like you
Nobody loves me, it's true
Not like you do"
Strangers,Dummy,1994-01-01,6pW8YspamPCxUwgvYttTSc,237600,0.659,0.617,6,-6.157,1,0.038,0.0355,0.16,0.185,0.25,84.078,https://genius.com/Portishead-strangers-lyrics,"[Verse 1]
Ooh
Can anybody see the light?
Where the morn' meets the dew and the tide rises
Did you realize no one can see inside your view?
Did you realize for why this sight belongs to you?
[Verse 2]
Ooh
Just set aside your fears of life
With the sole desire
[Chorus]
Done it warning, done it now
It ain't real on this side
Done it warning, done it now
It ain't real on this side
[Chorus]
Done it warning, done it now
And it ain't real
Done it warning, done it now
'Cause this ain't real on this side
[Verse 1]
Ooh
Can anybody see the light?
Where the morn' meets the dew and the tide rises
Did you realize no one can see inside your view?
Did you realize for why this sight belongs to you?"
It Could Be Sweet,Dummy,1994-01-01,1cpnpMvnvmdy3hzYgd5oo9,257160,0.668,0.52,9,-11.098,1,0.0444,0.698,0.0165,0.13,0.556,153.963,https://genius.com/Portishead-it-could-be-sweet-lyrics,"[Verse 1]
I don't want to hurt you
For no reason have I but fear
And I ain't guilty of the crimes you accuse me of
But I'm guilty of fear
[Pre-Chorus 1]
I'm sorry to remind
But I'm scared of what we're creating
This life ain't fair
[Chorus 1]
You don't get something for nothing, turn now
Gotta try a little harder
It could be sweet
Like a long forgotten dream
[Verse 2]
And we don't need them
To cast the fate we have
Love don't always shine through
[Pre-Chorus 2]
'Cause I don't wanna lose
What we had last time, your leaving
This life ain't fair
[Chorus 1]
You don't get something for nothing, turn now
Gotta try a little harder
It could be sweet
[Bridge]
But the thoughts we try to deny
Take a toll upon our lives
We struggle on in depths of pride
Tangled up in single minds
[Pre-Chorus 2]
'Cause I don't wanna lose
What we had last time, your leaving
This life ain't fair
[Chorus 2]
You don't get something for nothing, turn back
Gotta try a little harder
'Cause I don't wanna lose
What we had last time, your leaving
This life ain't fair
You don't get something for nothing, turn back
Gotta try a little harder
It could be sweet"
Wandering Star,Dummy,1994-01-01,7h14W1uQK7sjpVI1oVTobt,293200,0.639,0.37,6,-10.883,1,0.0723,0.504,0.587,0.117,0.707,80.152,https://genius.com/Portishead-wandering-star-lyrics,"[Verse 1]
Please, could you stay awhile to share my grief
For it's such a lovely day
To have to always feel this way
And the time that I will suffer less
Is when I never have to wake
[Chorus]
Wandering stars, for whom it is reserved
The blackness, the darkness, forever
Wandering stars, for whom it is reserved
The blackness, the darkness, forever
[Verse 2]
Those who have seen the needle's eye, now tread
Like a husk, from which all that was, now has fled
And the masks that the monsters wear
To feed, upon their prey
[Chorus]
Wandering stars, for whom it is reserved
The blackness, the darkness, forever
Wandering stars, for whom it is reserved
The blackness, the darkness, forever
[Verse 3]
Doubled up inside
Take a while to share my grief
Always doubled up inside
Taunted, cruel
[Chorus]
Wandering stars, for whom it is reserved
The blackness, the darkness, forever
Wandering stars, for whom it is reserved
The blackness, the darkness, forever"
It's A Fire,Dummy,1994-01-01,6JHGaBhtCbfEtOh5ea7fLI,226200,0.636,0.346,6,-11.188,1,0.0322,0.405,0.179,0.0932,0.27,89.098,https://genius.com/Portishead-its-a-fire-lyrics,"[Verse 1]
It's a fire
These dreams that pass me by
This salvation I desire
Keeps getting me down
'Cause we need to
Recognize mistakes
For time and again
[Chorus]
So let it be known for what we believe in
I can see no reason for it to fail
'Cause this life is a farce
I can't breathe through this mask
Like a fool
So breathe on, sister, breathe on
[Verse 2]
From this oneself
Testify or tell
It's fooling us now
[Chorus]
So let it be known for what we believe in
I can see no reason for it to fail
'Cause this life is a farce
I can't breathe through this mask
Like a fool
So breathe on, little sister, breathe on
Ah, so breathe on, little sister, like a fool"
Numb,Dummy,1994-01-01,7lR743VxfubUw5m9dpnR9x,235800,0.326,0.447,6,-6.11,1,0.0356,0.056,1.8e-05,0.0812,0.22,78.052,https://genius.com/Portishead-numb-lyrics,"[Verse 1]
I'm ever so lost
I can't find my way
Been searching, but I have never seen
A turning, a turning from deceit
[Chorus]
'Cause the child rose as life
Tried to reveal what I could feel
[Verse 2]
I can't understand myself anymore
'Cause I'm still feeling lonely
Feeling so unholy
[Chorus]
'Cause the child rose as light
Tried to reveal what I could feel
And this loneliness
It just won't leave me alone
[Verse 3]
I'm fooling somebody
A faithless path I roam
Deceiving to breathe this secretly
A silence, this silence I can't bear
[Chorus]
'Cause the child rose as life
Tries to reveal what I could feel
And this loneliness
It just won't leave me alone, oh no
And this loneliness
It just won't leave me alone
[Outro]
A lady of woe
A lady of woe"
Roads,Dummy,1994-01-01,2sW8fmnISifQTRgnRrQTYW,303973,0.607,0.294,5,-11.836,1,0.0764,0.778,0.162,0.106,0.192,76.083,https://genius.com/Portishead-roads-lyrics,"[Pre-Chorus]
Oh
Can't anybody see
We've got a war to fight
Never find our way
Regardless of what they say
[Chorus]
How can it feel this wrong?
From this moment
How can it feel this wrong?
[Verse]
Storm in the morning light
I feel, no more can I say
Frozen to myself
I got nobody on my side
And surely that ain't right
Surely that ain't right
[Pre-Chorus]
Oh
Can't anybody see
We've got a war to fight
Never find our way
Regardless of what they say
[Chorus]
How can it feel this wrong?
From this moment
How can it feel this wrong?
[Instrumental Bridge]
[Chorus]
How can it feel this wrong?
From this moment
How can it feel this wrong?
[Pre-Chorus]
Oh
Can't anybody see
We've got a war to fight
Never find our way
Regardless of what they say
[Chorus]
How can it feel this wrong?
From this moment
How can it feel this wrong?"
Pedestal,Dummy,1994-01-01,20DMYgVdOaR7sjsu8QMSoH,220400,0.411,0.464,0,-10.568,0,0.076,0.154,0.721,0.117,0.377,84.125,https://genius.com/Portishead-pedestal-lyrics,"[Verse 1]
How can I believe this miracle
Where the wind blows dry?
Through the force of a man
Undenied by his eye?
[Chorus]
Oh, you abandoned me, how I suffer
Ridicule breathes a sigh
You abandoned me, lost forever
Hush, can you hear?
[Verse 2]
Enter and rejoice this pedestal
Where the rainbows hide
Your destiny
Mystery of all time
[Chorus]
Oh, no time, make, or reason
Ridicule breathes a sigh
No time, make, or reason
Hush, hear him cry
[Trumpet Solo]
[Outro]
No time, make or reason
No time, make or reason
No time, make or reason"
Biscuit,Dummy,1994-01-01,6dDcfbMUFkFDk6x93kITY7,302600,0.737,0.455,8,-7.997,0,0.0805,0.73,0.055,0.0717,0.339,136.03,https://genius.com/Portishead-biscuit-lyrics,"[Verse 1]
I'm lost, exposed
Stranger things will come your way
It's just I'm scared
Got hurt a long time ago
I can't make myself heard
[Chorus 1]
No matter how hard I scream, oh, sensation
Sin, slave of sensation
[Verse 2]
Full fed, yet I still hunger
Torn inside
Haunted, I tell myself, yet I still wander
Down inside
[Chorus 2]
It's tearing me apart, oh, sensation
Sin, slave of sensation
[Bridge]
(I'll never fall in love again)
(It's all over now)
[Verse 3]
At last, relief
A mother's son has left me sheer
The shores I seek
Are crimson tastes divine
I can't make myself heard
[Chorus 1]
No matter how hard I scream, oh, sensation
Sin, slave of sensation
[Outro]
(I'll never fall in love again)
(It's all over now)"
Glory Box,Dummy,1994-01-01,3Ty7OTBNSigGEpeW2PqcsC,308626,0.51,0.434,1,-10.004,1,0.0361,0.177,0.516,0.0603,0.207,119.695,https://genius.com/Portishead-glory-box-lyrics,"[Verse 1]
I'm so tired of playing
Playing with this bow and arrow
Gonna give my heart away
Leave it to the other girls to play
For I've been a temptress too long
Just...
[Chorus]
Give me a reason to love you
Give me a reason to be a woman
I just wanna be a woman
[Verse 2]
From this time, unchained
We're all looking at a different picture
Through this new frame of mind
A thousand flowers could bloom
Move over and give us some room, yeah
[Chorus]
Give me a reason to love you
Give me a reason to be a woman
I just wanna be a woman
[Guitar Solo]
[Verse 3]
So don't you stop being a man
Just take a little look
From outside when you can
Sow a little tenderness
No matter if you cry
[Chorus]
Give me a reason to love you
Give me a reason to be a woman
I just wanna be a woman
[Bridge]
It's all I wanna be, is all, a woman
For this is the beginning
Of forever and ever
It's time to move over
It's all I wanna be
[Outro]
I'm so tired of playing
Playing with this bow and arrow
Gonna give my heart away
Leave it to the other girls to play
For I've been a temptress too long
Just
Give me a reason to love you"
Chase the Tear,Chase the Tear,2010-05-23,00CjPU9Nv69kf6YofOIazK,315120,0.731,0.609,10,-8.616,1,0.0342,0.498,0.882,0.1,0.931,95.057,https://genius.com/Portishead-chase-the-tear-lyrics,"[Verse 1]
Looking out, looking in
Going where never been
Running round my defenses
Been afraid, felt the grain
Open doorways full of shame
My own life I resented
[Chorus]
Winter sigh, summer's gone
Holding off tomorrow's sorrow
[Verse 2]
Rushing out, Rushing in
Losing out, losing the
Identity of my heart
Didn't fold, chase the tear
Never let go, now I'm there
It's over, it's over
[Chorus]
Winter sigh, summer's gone
Holding off tomorrow's sorrow
So I won't anymore
Winter sigh, summer's gone
Holding off tomorrow's sorrow
So I won't anymore"
The Rip,The Rip,2008-06-09,3QwZ7NXXL5aerOshYdPN1x,270960,0.444,0.482,9,-9.442,0,0.031,0.928,0.486,0.099,0.242,74.927,https://genius.com/Portishead-the-rip-lyrics,"[Verse 1]
As she walks in the room
Centered and tall
Hesitating once more
And as I take on myself
And the bitterness I felt
I realize that love flows
[Chorus]
Wild, white horses
They will take me away
And the tenderness I feel
Will send the dark underneath
Will I follow?
[Verse 2]
Through the glory of life
I will scatter on the floor
Disappointed and sore
And in my thoughts I have bled
For the riddles I've been fed
Another lie moves over
[Chorus]
Wild, white horses
They will take me away
And the tenderness I feel
Will send the dark underneath
Will I follow?
[Instrumental Break]
[Chorus]
Wild, white horses
They will take me away
And the tenderness I feel
Will send the dark underneath
Will I follow?
[Instrumental Outro]"
Silence - Portishead In Portishead,The Rip,2008-06-09,6mCfWEoxryRg1yJhGAyM39,277973,0.289,0.769,10,-8.174,0,0.0879,0.00135,0.00168,0.108,0.277,132.552,https://genius.com/Portishead-silence-portishead-in-portishead-lyrics,"[Intro]
Esteja alerta para as regras dos três
O que você dá, retornará para você
Essa lição, você tem que aprender
Você só ganha o que você merece
[Instrumental Break]
[Verse 1]
Tempted in our minds
Tormented inside lie
Wounded and afraid
Inside my head
Falling through changes
[Chorus]
Did you know when you lost?
Did you know when I wanted?
Did you know what I lost?
Do you know what I wanted?
[Verse 2]
Empty in our hearts
Crying out in silence
Wandered out of reach
Too far to speak
Drifting unable
[Chorus]
Did you know when you lost?
Did you know when I wanted?
Did you know what I lost?
Do you know what I wanted?"
Magic Doors - Single Version,Magic Doors,2008-01-01,786c13ekiJQcxxkgWG0X9P,202866,0.648,0.817,2,-6.462,0,0.0501,0.108,0.661,0.117,0.666,106.155,https://genius.com/Portishead-magic-doors-single-version-lyrics,"[Verse 1]
I can't deny what I've become
I'm just emotionally undone
I can't deny, I can't be someone else
When I have tried to find the words
To describe this sense absurd
Try to resist my thoughts, but I can't lie
[Chorus]
I'm only losin' myself
My desire I can't hide
No reason I'm alive for
[Verse 2]
I can't divide or hide from me
I don't know who I'm meant to be
I guess it's just the person that I am
Often I've dreamt that I don't wake
Enjoy the gift of my mistake
But yet again, I'm wrong and I confess
[Chorus]
I'm only losin' myself
My desire I can't hide
No reason I'm alive for
[Chorus]
I'm only losin' myself
My desire I can't hide
No reason I'm alive for"
Only You - Radio Edit,Only You,1998-03-02,5ALULththh6oaKSu1khnGM,228040,0.665,0.321,5,-12.13,1,0.149,0.287,0.00292,0.368,0.104,120.092,Lyrics not found,Lyrics not found
Elysium - Parlour Talk Remix,Only You,1998-03-02,0T2StwxGf4UmExk2gekmq6,326710,0.732,0.538,1,-17.587,1,0.374,0.0234,0.242,0.227,0.363,160.453,https://genius.com/Portishead-elysium-parlour-talk-remix-lyrics,"[Verse 1]
No one has said
What the truth should be
And no one decided
That I'd feel this way
If you felt as I
Would you betray yourself?
[Hook]
But you can't deny how I feel
And you can't decide for me
[Verse 2]
No one should fear
What they cannot see
And no one's to blame
It's just hypocrisy
It's written in your eyes
And how I despise myself
[Hook]
But you can't deny how I feel
And you can't decide for me
[Verse 3]
And it's your heart
That's so wrong
Mistaken
You'll never know
Your feathered sacred self
[Hook]
But you can't deny how I feel
And you can't decide for me
And you can't deny how I feel
Oh, why should you dеcide for me?"
Elysium - Parlour Talk Remix / Instrumental,Only You,1998-03-02,1vyVF7u6pC6Ossr4qjehc3,327552,0.752,0.466,1,-18.422,1,0.339,0.0567,0.804,0.275,0.316,80.252,Lyrics not found,Lyrics not found
Over,Over,1997-11-10,44GKcjlMTDNnv7RwmcboPD,237466,0.628,0.707,1,-9.501,1,0.043,0.444,0.000347,0.11,0.181,74.137,https://genius.com/Portishead-over-lyrics,"[Verse 1]
I can't hold this day anymore
Understand me anymore
To tread this fantasy openly
What have I done?
[Hook]
Oh, this uncertainty
Is taking me over
[Verse 2]
I can't mould this stage anymore
Recognise me anymore
To tread this fantasy openly
What have I done?
[Hook]
Oh, this uncertainty
Is taking me over
Is taking me over
To tread this fantasy openly
What have I done?
Oh, this uncertainty
Is taking me over
Is taking me over
Is taking me over
[Outro]
Yes, it's all over, yeah
Oh, it's all over, yeah"
Over - Remix,Over,1997-11-10,5g5Qnh62tx2er3gp15q5qd,259613,0.631,0.49,8,-7.61,0,0.0513,0.406,0.00574,0.155,0.455,74.968,https://genius.com/Portishead-over-remix-lyrics,"[Verse 1]
I can't hold this day anymore
Understand me anymore
To tread this fantasy openly
What have I done?
[Hook]
Oh, this uncertainty
Is taking me over
[Verse 2]
I can't mould this stage anymore
Recognise me anymore
To tread this fantasy openly
What have I done?
[Hook]
Oh, this uncertainty
Is taking me over
Is taking me over
To tread this fantasy openly
What have I done?
Oh, this uncertainty
Is taking me over
Is taking me over
Is taking me over
[Outro]
Yes, it's all over, yeah
Oh, it's all over, yeah"
Over - Instrumental,Over,1997-11-10,2Ed4i6aYtJVpRWjlD00HnR,238809,0.542,0.727,1,-11.253,1,0.0362,0.206,0.56,0.104,0.0546,148.018,https://genius.com/Portishead-over-instrumental-lyrics,Lyrics not found
All Mine,All Mine,1997-09-08,4m1vwSRtNqzWiBY1OmMAjC,241623,0.338,0.665,1,-2.894,0,0.142,0.0915,0.014,0.0781,0.314,180.503,https://genius.com/Portishead-all-mine-lyrics,"[Verse 1]
All the stars may shine a-bright
All the clouds may be white
But when you smile
Oh, how I feel so good
That I can hardly wait
To hold you
Enfold you
Never enough
Render your heart to me
[Hook]
All mine
You have to be
[Verse 2]
From that cloud number nine
Danger starts the sharp incline
And such sad regrets
Oh, as those starry skies
As they swiftly fall
Make no mistake
You shan't escape
Tethered and tied
There's nowhere to hide from me
[Hook]
All mine
You have to be
[Bridge]
So don't resist
We shall exist
Until the day
Until the day I die
[Hook]
All mine
You have to be"
All Mine - Instrumental,All Mine,1997-09-08,67sPa734CL6Oattlo75fSt,241542,0.669,0.583,11,-3.744,1,0.1,0.0515,0.544,0.098,0.443,60.234,https://genius.com/Portishead-all-mine-instrumental-lyrics,Lyrics not found
Cowboys,All Mine,1997-09-08,0wcCMq8JMw4jaMrys4fu8E,278825,0.461,0.843,10,-2.515,0,0.0442,0.147,1.51e-05,0.0959,0.181,76.74,https://genius.com/Portishead-cowboys-lyrics,"[Verse 1]
Did you sweep us far from your feet?
Reset in stone this stark belief?
Salted eyes and a sordid dye
Too many years
[Chorus]
But don't despair
This day will be their damnedest day
Oh, if you take these things from me
[Verse 2]
Did you feed us tales of deceit?
Conceal the tongues who need to speak?
Subtle lies and a soiled coin
The truth is sold, the deal is done
[Chorus]
But don't despair
This day will be their damnedest day
Oh, if you take these things from me
[Bridge]
Undefied, no signs of regret
Your swollen pride assumes respect
Talons fly as a last disguise
But no return, the time has come
[Chorus]
So don't despair
This day will be their damnedest day
Oh, if you take these things from me
[Outro]
Oh, if you take these things from me"
Cowboys - Instrumental,All Mine,1997-09-08,7vAxLqU65GEHf0MkY3ZazG,279887,0.428,0.777,10,-3.131,0,0.0385,0.00642,0.000148,0.12,0.17,76.682,https://genius.com/Portishead-cowboys-instrumental-lyrics,Lyrics not found
Glory Box - Edit,Glory Box,1995-01-02,38dI6dX7pE8os2ktGeOC4z,217573,0.457,0.47,1,-8.282,1,0.0336,0.0637,0.555,0.105,0.2,119.502,https://genius.com/Portishead-glory-box-edit-lyrics,"I'm so tired, of playing
Playing with this bow and arrow
Gonna give my heart away
Leave it to the other girls to play
For I've been a temptress too long
Just...
Give me a reason to love you
Give me a reason to be ee, a woman
I just want to be a woman
From this time, unchained
We're all looking at a different picture
Through this new frame of mind
A thousand flowers could bloom
Move over, and give us some room
[Chorus]
So don't you stop, being a man
Just take a little look from our side when you can
Sow a little tenderness
No matter if you cry
Give me a reason to love you
Give me a reason to be ee, a woman
It's all I want to be is all woman
For this is the beginning of forever and ever
It's time to move over"
Toy Box,Glory Box,1995-01-02,3iN8gw23oDo8JgOhPLYrhJ,346226,0.83,0.284,10,-10.526,0,0.0427,0.0363,0.0432,0.106,0.788,120.033,https://genius.com/Portishead-toy-box-lyrics,"I'm so tired, of playing
Playing with this bow and arrow
Gonna give my heart away
Leave it to the other girls to play
For I've been a temptress too long
Just...
Give me a reason to love you
Give me a reason to be ee, a woman
I just wanna be a woman
From this time, unchained
We're all looking at a different picture
Thru this new frame of mind
A thousand flowers could bloom
Move over, and give us some room
So don't you stop, being a man
Just take a little look from our side when you can
Sow a little tenderness
No matter if you cry
Give me a reason to love you
Give me a reason to be ee, a woman
It's all I wanna be is all woman
For this is the beginning of forever and ever
It's time to move over"
